cq147369,no skin,13,15415,132,18,21,无书院,无巾帼,0,0,0,16,148,412,430,145,530,60,602,1432,191,3156,1763
muyang1,no skin,20,25456,153,24,38,无书院,无巾帼,2,0,2,7,597,593,595,1441,4895,1439,1760,753,190,11295,4207
muyang2,no skin,14,20522,142,25,132,无书院,无巾帼,2,0,2,17,610,537,502,1015,4838,1502,1110,1759,173,10500,4712
1358177 yubei,no skin,13,24556,148,38,20,无书院,巾帼,1,0,0,591,744,742,686,1706,7335,1478,1738,1018,152,7829,5258
1770994 yubeiyi,no skin,13,23859,146,33,16,无书院,无巾帼,0,0,2,549,614,610,352,2365,7940,1585,1556,1320,147,7588,4709
1861216 jia,no skin,18,20744,156,24,22,无书院,无巾帼,1,0,0,123,194,128,218,1727,3509,973,1420,899,157,8227,3880
12160829 yi,no skin,14,25249,156,20,21,无书院,无巾帼,1,0,0,117,168,369,111,1737,3490,1025,1079,1021,142,7247,4759
134886 bing,no skin,14,22848,153,23,15,无书院,无巾帼,0,0,3,130,117,500,477,1641,3404,1428,3796,1799,163,8580,5289
88699777 ding,no skin,14,20730,149,23,19,无书院,无巾帼,1,0,0,118,93,249,102,1719,3480,998,1188,784,154,7978,5470
pgh123,no skin,14,15508,140,26,12,无书院,无巾帼,0,2,0,427,608,596,292,1069,5432,1562,709,920,141,8786,4242
pgh1234,no skin,14,18606,141,30,8,无书院,无巾帼,0,2,0,286,360,335,77,1553,5126,1840,738,767,139,7108,3419
pgh12345,no skin,14,15112,139,25,14,无书院,无巾帼,2,1,2,169,372,371,123,1927,5387,1736,765,987,175,5811,3285
pgh123456,no skin,14,27158,138,18,15,无书院,无巾帼,2,1,2,41,303,755,404,357,5187,1897,1432,1097,168,5692,3393
