cq147369,no skin,20,10861,137,31,50,无书院,无巾帼,0,0,0,127,468,767,787,171,1625,192,630,2048,337,5825,3009,237509,122436
muyang1,skin,20,20359,159,38,22,书院,巾帼,2,0,2,166,771,758,750,2317,7354,2620,2221,1261,398,15589,5941,20569,314674
muyang2,no skin,20,9324,147,45,144,书院,无巾帼,2,0,4,109,705,622,591,2227,7265,2607,1480,2252,398,14812,6439,7636,298363
wang77,no skin,20,8399,141,21,38,无书院,无巾帼,0,0,1,21,351,629,602,245,458,140,18,1071,470,4160,2157,444121,95319
wang777,no skin,20,7876,141,23,36,无书院,无巾帼,1,0,2,21,221,619,605,242,465,163,15,841,442,3662,2017,625353,55663
wang7777,no skin,20,7978,137,23,48,无书院,无巾帼,0,0,3,13,159,770,707,154,459,117,484,956,355,4924,2504,436625,114567
pgh123,skin,20,18584,145,38,18,无书院,无巾帼,0,2,2,228,810,808,489,1686,5597,197,957,1701,327,12012,5690,504,238978
pgh1234,no skin,20,18449,144,42,8,无书院,无巾帼,0,2,2,108,790,785,503,1487,7198,192,913,1580,317,10358,4918,1685,218567
pgh12345,no skin,20,19150,146,37,13,无书院,无巾帼,2,1,4,71,883,874,641,1104,5301,859,977,1691,340,9021,4745,954,243858
pgh123456,no skin,20,8789,145,30,24,书院,无巾帼,2,1,4,118,480,929,590,1082,6764,1016,1639,1881,389,8871,4793,9104,281315
pgh1234567,no skin,20,13973,145,28,51,无书院,无巾帼,0,1,2,52,803,650,999,1457,7880,192,1244,1242,536,8111,4239,2155,207205
pgh12345678,no skin,20,9477,149,29,45,无书院,无巾帼,1,1,0,103,596,599,374,2069,5913,683,858,1248,460,7919,3964,5442,271653
pgh123456789,no skin,20,7278,145,24,8,无书院,无巾帼,0,1,3,86,404,527,229,2601,6072,2861,932,1677,571,9198,4902,153651,252016
