cq147369,72,94,84,80,434,763,288,144,1056,1205,705,12665
muyang1,299,412,402,405,779,2778,949,1416,387,6928,2527,50140
muyang2,49,269,181,139,803,2533,837,815,1374,6464,3056,16790
1358177 yubei,503,664,656,595,716,5288,949,1261,651,3676,3667,10090
1770994 yubeiyi,456,524,513,264,1350,5899,1080,1181,990,3573,3204,13484
1861216 jia,41,112,42,138,784,1461,459,759,485,3560,2136,22741
12160829 yi,38,94,294,40,849,1440,519,676,726,3076,3145,13249
134886 bing,35,27,411,385,670,1395,898,3313,1462,4419,3646,13292
88699777 ding,36,21,171,32,775,1434,477,683,423,3886,3857,12367
pgh123,384,414,384,104,660,3489,1100,308,240,6011,3010,10728
pgh1234,279,309,281,25,707,3213,1417,182,288,4522,2244,11635
pgh12345,261,280,269,33,748,3344,1116,328,478,3203,2077,7460
pgh123456,95,361,398,453,556,3133,1480,1051,420,3015,2172,6175
