cq147369,no skin,20,2140,137,31,49,无书院,无巾帼,0,0,0,125,466,765,787,98,1347,132,979,1964,323,5440,2825,341877,97738
muyang1,skin,20,9862,159,38,22,书院,巾帼,2,0,2,164,770,756,749,2223,7106,2560,2501,1144,384,14981,5719,20569,300702
muyang2,no skin,20,1477,147,45,144,书院,无巾帼,2,0,4,107,704,620,588,2146,7022,2547,1781,2161,384,14158,6209,7636,287885
wang77,no skin,20,861,141,21,35,无书院,无巾帼,0,0,1,1,332,608,581,76,162,52,330,985,450,3679,1973,548489,74173
wang777,no skin,20,532,139,23,36,无书院,无巾帼,1,0,2,2,201,602,586,59,187,57,342,737,422,3222,1834,729721,64665
wang7777,no skin,20,563,136,23,48,无书院,无巾帼,0,0,3,12,159,769,705,50,201,57,815,883,341,4491,2310,540993,90769
pgh123,skin,20,11392,145,38,17,无书院,无巾帼,0,2,2,227,808,808,488,1596,5348,137,1298,1596,313,11529,5510,504,196656
pgh1234,no skin,20,10967,144,42,7,无书院,无巾帼,0,2,2,106,789,784,502,1423,6957,132,1274,1486,303,9888,4724,1685,178881
pgh12345,no skin,20,11458,146,37,10,无书院,无巾帼,2,1,4,69,883,873,639,1048,5035,799,1304,1587,325,8551,4551,954,203532
pgh123456,no skin,20,914,145,30,23,书院,无巾帼,2,1,4,117,479,924,589,1012,6512,956,1967,1786,374,8414,4617,9104,244621
pgh1234567,no skin,20,7014,145,28,49,无书院,无巾帼,0,1,2,52,801,650,999,1373,7641,132,1587,1154,522,7648,4067,2155,167779
pgh12345678,no skin,20,1694,149,29,45,无书院,无巾帼,1,1,0,99,595,595,372,1992,5660,625,1209,1161,446,7449,3772,5442,229807
pgh123456789,no skin,20,279,145,24,7,无书院,无巾帼,0,1,3,84,404,522,228,2535,5830,2802,1291,1577,557,8737,4721,153651,213142
