ssqwerty,4,36445,831329,0,0,143,19620,316,11000,1801
18612160829,4,5884,380878,0,0,708,87480,278,8995,160
wang25687,5,0,847760,0,0,255,8460,50,10015,319
15504973518,4,40414,412250,0,0,748,75060,106,2285,133
13812788376,4,1,11683,0,0,226,5220,50,12535,157
457181660,3,20,1380,0,0,23,37080,105,8980,21
15686784340,2,8620,59790,20,33840,0,0,62,980,66
z7211191,2,5050,63550,202,44820,0,0,118,4340,30
shinecy1126,3,8810,21171,0,0,100,40500,134,7460,39
lonely7201984,2,2740,53270,173,40140,0,0,176,6260,30
liu271,2,1582,58445,56,59760,0,0,147,3780,54
cq1473691,2,700,575,20,36180,0,0,20,15,43
cq1473693,2,490,2445,20,37080,0,0,20,35,55
cq147369,2,10,2425,20,20700,0,0,20,140,58
muyang1,2,40,3685,20,28440,0,0,20,4060,49
muyang2,2,100,1145,25,27900,0,0,20,3660,49
1358177 yubei,2,10,13480,20,21960,0,0,20,2940,73
1770994 yubeiyi,2,40,9325,20,24120,0,0,20,4700,58
1861216 jia,2,0,20060,20,24180,0,0,20,5530,61
12160829 yi,2,160,14245,63,24300,0,0,20,4810,79
134886 bing,2,40,7930,62,23220,0,0,20,4680,62
88699777 ding,2,100,12905,29,24300,0,0,20,3860,66
pgh123,2,0,1055,61,24540,0,0,20,2980,57
pgh1234,2,0,855,25,23820,0,0,20,3220,57
pgh12345,2,0,3135,20,23280,0,0,20,4260,41
pgh123456,2,0,3455,25,23820,0,0,2,3940,41
pgh1234567,2,0,1390,23,24000,0,0,20,3380,41
pgh12345678,2,0,2870,20,23100,0,0,20,3620,44
pgh123456789,2,0,1460,23,23640,0,0,20,4260,50
pby123,2,0,1330,24,23100,0,0,20,2820,41
pby1234,2,40,16985,90,19440,0,0,45,0,0
pby12345,2,0,4200,20,23460,0,0,20,1780,44
pby123456,2,0,1905,35,23820,0,0,20,2980,41
pby1234567,2,0,1990,25,23640,0,0,20,3140,50
pby12345678,2,40,935,56,23760,0,0,20,2980,41
pby123456789,2,0,1660,25,23280,0,0,20,3920,20
wang77,1,0,300,8,1800,0,0,0,0,0
wang777,1,0,1300,8,1800,0,0,0,0,0
wang7777,1,0,300,8,1800,0,0,0,0,0
ssqwerty,4,36445,838829,0,0,131,20700,251,16680,180
18612160829,4,5884,388378,0,0,671,94140,278,8995,160
