pby123,no skin,20,1322,148,32,5,无书院,无巾帼,0,1,3,120,526,511,237,2545,6871,132,1022,803,465,7519,3990,3430,221362
pby1234,no skin,20,3702,148,26,51,无书院,无巾帼,2,1,5,17,642,616,656,2201,7134,132,1023,932,538,7793,3825,2590,214218
pby12345,no skin,20,4608,145,27,3,无书院,无巾帼,1,1,4,174,941,788,1089,1012,2671,725,1039,632,547,7642,4041,2635,192530
pby123456,no skin,20,13491,145,35,45,无书院,无巾帼,1,1,2,128,893,888,882,1109,6604,676,1043,982,575,7516,3835,340,205448
pby1234567,no skin,20,902,142,46,52,书院,无巾帼,2,1,3,142,788,839,984,776,1826,129,1062,1072,597,6948,3527,2000,171539
pby12345678,no skin,20,514,141,36,44,书院,无巾帼,2,1,3,51,462,790,799,753,1854,129,903,919,1056,6008,3121,302674,147099
pby123456789,no skin,20,967,145,18,32,无书院,巾帼,1,1,5,35,490,501,538,927,1904,776,847,785,926,6596,3417,90375,147371
1358177 yubei,skin,20,17767,154,50,12,无书院,巾帼,1,0,1,673,823,820,760,2731,9491,2468,2213,1093,310,11613,6692,621,126872
1770994 yubeiyi,no skin,20,463,149,51,7,书院,无巾帼,0,0,4,519,1065,1050,749,2076,10158,951,1953,1611,400,11242,6238,5604,371629
1861216 jia,no skin,20,3758,160,37,20,书院,巾帼,1,0,0,204,272,216,297,2770,5770,2045,2251,1002,354,12463,5471,29378,88912
12160829 yi,no skin,20,2022,161,35,68,书院,无巾帼,1,0,2,195,243,444,185,2770,5676,2052,1892,1076,398,10946,6240,17673,104226
134886 bing,no skin,20,2094,156,37,63,书院,无巾帼,0,0,5,217,198,585,554,2653,5631,2435,4620,1887,390,12314,6872,781,77300
88699777 ding,no skin,20,314,154,35,63,书院,无巾帼,1,0,2,191,165,322,170,2764,5687,2019,1987,1046,397,11684,7036,7482,304581
