pgh1234567,no skin,12,21586,136,15,13,无书院,无巾帼,0,1,2,27,415,303,657,1512,5554,2110,1139,562,391,4995,2935
pgh12345678,no skin,12,17523,143,18,10,无书院,无巾帼,1,1,0,55,365,371,142,1538,4256,1478,749,567,319,4733,2663
pgh123456789,no skin,12,19351,135,12,11,无书院,无巾帼,0,1,1,63,332,442,151,1520,3763,1843,761,934,388,5997,3551
pby123,no skin,12,17095,139,21,10,无书院,无巾帼,0,1,1,99,449,435,165,1489,5170,1957,755,493,285,4833,2829
pby1234,no skin,12,21638,145,14,19,无书院,无巾帼,2,1,3,15,549,516,561,1201,5041,1899,821,586,371,5139,2720
pby12345,no skin,12,22132,132,15,21,无书院,无巾帼,1,1,2,329,399,280,578,1683,4593,1831,819,376,381,4897,2920
pby123456,no skin,16,13726,137,21,25,无书院,无巾帼,1,1,2,87,811,805,801,87,4758,1845,810,670,452,4875,2746
pby1234567,no skin,16,16825,125,30,12,无书院,无巾帼,2,1,3,14,619,682,825,89,3882,1772,757,717,437,4263,2327
pby12345678,no skin,16,15165,128,22,18,无书院,无巾帼,2,1,3,4,338,657,662,116,1898,1402,658,640,901,3324,2053
pby123456789,no skin,12,12986,142,9,52,无书院,巾帼,1,1,3,24,83,84,154,1281,3038,992,716,582,764,3999,2344
wang77,no skin,10,14539,125,10,8,无书院,无巾帼,0,0,1,23,116,274,256,71,305,61,469,548,310,1930,1057
wang777,no skin,8,30910,124,10,9,无书院,无巾帼,1,0,1,17,39,249,248,140,291,77,478,286,300,1475,923
wang7777,no skin,10,14334,129,11,10,无书院,无巾帼,0,0,1,5,6,376,339,66,390,148,518,293,195,1797,1207
