pgh1234567,80,352,235,594,626,3557,1649,890,366,2347,1805,6687
pgh12345678,54,300,302,73,623,2261,1015,182,337,2104,1568,4910
pgh123456789,58,274,376,90,632,1763,1396,343,714,3297,2389,5814
pby123,61,382,367,105,621,3377,1508,176,277,2248,1781,8618
pby1234,24,310,292,329,707,2934,1359,210,342,2363,1547,8219
pby12345,341,347,231,524,768,2764,1330,186,128,2147,1706,7835
pby123456,323,333,338,322,766,2955,1320,218,365,2089,1463,18874
pby1234567,205,202,153,332,867,2097,1199,185,349,1711,1139,25439
pby12345678,208,273,296,338,501,1832,1176,179,439,1134,928,27853
pby123456789,8,14,20,95,352,1003,464,76,113,1377,1207,6720
wang77,25,25,26,26,148,261,102,64,207,190,178,6547
wang777,32,32,33,37,193,390,192,6,223,37,104,6724
wang7777,25,31,31,31,687,905,595,4,288,38,286,4438
