profile,姓名,id,等级,武力,战力,满武力,书籍经验,总资质
wang25687,零零发,1,350,408,7.20,409,219,446
wang25687,鳌拜,2,350,578,10.20,593,3072,675
wang25687,和珅,3,300,173,2.61,178,1024,268
wang25687,郑板桥,4,300,168,2.54,187,3963,463
wang25687,喜来乐,5,300,107,1.62,137,6062,350
wang25687,苏乞儿,6,350,586,10.34,672,17395,622
wang25687,李卫,7,300,133,2.01,139,1301,279
wang25687,刘伯温,8,350,454,8.03,454,123,673
wang25687,林则徐,9,350,230,4.06,319,17835,787
wang25687,方世玉,10,400,495,10.03,513,3733,570
wang25687,多尔衮,11,400,500,10.08,514,2898,549
wang25687,左宗棠,12,400,500,10.10,519,3808,565
wang25687,张之洞,13,400,506,10.20,539,6734,682
wang25687,蒲松龄,14,300,126,1.90,151,5166,297
wang25687,李鸿章,15,300,181,2.74,195,2995,356
wang25687,李寻欢,16,400,500,10.10,510,2020,588
wang25687,索尼,17,300,144,2.18,161,3447,305
wang25687,胡雪岩,18,300,157,2.37,243,17284,371
wang25687,曹雪芹,19,300,187,2.83,194,1469,377
wang25687,海大富,20,400,507,10.24,518,2229,579
wang25687,华佗,21,300,132,2.00,218,17391,187
wang25687,墨子,22,300,233,3.53,364,26222,436
wang25687,杜甫,23,400,496,10.02,515,3908,644
wang25687,廉颇,24,400,518,10.47,587,13903,570
wang25687,庄周,25,300,143,2.16,160,3471,266
wang25687,李元芳,26,400,496,10.02,499,610,553
wang25687,鲁班,27,300,48,.72,52,932,115
wang25687,孙武,28,400,498,10.04,514,3336,532
wang25687,张良,29,129,22,.14,68,9217,44
wang25687,姜子牙,30,300,18,.27,31,2662,73
wang25687,孙膑,31,51,13,.03,27,2835,38
wang25687,关羽,33,400,1948,40.96,1984,7203,2144
wang25687,张飞,34,400,499,10.17,513,2944,648
wang25687,赵云,35,400,505,10.86,525,4190,604
wang25687,马超,36,400,577,11.78,686,21823,661
wang25687,黄忠,37,400,545,11.10,667,24422,595
wang25687,诸葛亮,38,500,645,16.68,651,1392,3006
wang25687,庞统,39,400,499,10.23,705,41236,718
wang25687,周瑜,40,400,498,10.10,748,50077,622
wang25687,郭嘉,41,400,528,11.02,802,54813,2039
wang25687,荆轲,43,350,570,10.07,717,29463,1384
wang25687,韦小宝,44,400,525,10.61,575,10108,1030
wang25687,黄飞鸿,45,350,569,10.05,642,14661,898
wang25687,李白,46,350,729,12.85,824,19177,987
wang25687,吕布,47,400,662,13.39,717,11188,1044
wang25687,孙尚香,50,400,525,10.61,729,40859,2317
wang25687,关银屏,51,500,4164,108.33,4239,15116,11866
wang25687,马云騄,55,500,523,13.31,552,5848,7205
wang25687,张春华,66,400,504,10.16,592,17647,4155
ssqwerty,零零发,1,400,536,10.81,536,198,624
ssqwerty,鳌拜,2,400,543,10.96,545,548,641
ssqwerty,和珅,3,350,184,3.24,216,6450,565
ssqwerty,郑板桥,4,300,171,2.58,198,5423,520
ssqwerty,喜来乐,5,250,188,2.36,217,5878,386
